source,product_id,trade_id,price,quantity,trade_time,side,collected_at,raw_type,trade_value,price_zscore,trade_value_zscore,anomaly_score,ml_is_anomaly
coinbase,BTC-USD,185822414,96913.2,0.079554,2026-05-08 22:14:51.155000+00:00,buy,2026-05-08T23:14:50.673369+00:00,match,7709.8327128,0.0,0.0,0.036559962319946515,False
coinbase,BTC-USD,185822440,97037.74,2.151963,2026-05-08 22:14:52.717000+00:00,buy,2026-05-08T23:14:50.673444+00:00,match,208821.62608362,0.0,0.0,0.026201728646720213,False
coinbase,BTC-USD,185822418,97033.65,0.850692,2026-05-08 22:14:52.881000+00:00,buy,2026-05-08T23:14:50.673382+00:00,match,82545.7497858,0.0,0.0,0.08251438187407623,False
coinbase,BTC-USD,185822430,97134.23,2.107146,2026-05-08 22:14:53.625000+00:00,buy,2026-05-08T23:14:50.673417+00:00,match,204676.00420758,0.0,0.0,0.03310516514808459,False
coinbase,BTC-USD,185822468,96620.48,1.351516,2026-05-08 22:14:55.153000+00:00,buy,2026-05-08T23:14:50.673523+00:00,match,130584.12464768,0.0,0.0,0.06657079448834757,False
coinbase,BTC-USD,185822424,97113.37,0.114656,2026-05-08 22:14:56.865000+00:00,sell,2026-05-08T23:14:50.673399+00:00,match,11134.63055072,0.0,0.0,0.03975871477735626,False
coinbase,BTC-USD,185822436,96863.76,2.493315,2026-05-08 22:14:58.665000+00:00,sell,2026-05-08T23:14:50.673433+00:00,match,241511.8657644,0.0,0.0,-0.037793227758924686,True
coinbase,BTC-USD,185822428,97080.46,0.42793,2026-05-08 22:14:59.489000+00:00,buy,2026-05-08T23:14:50.673411+00:00,match,41543.6412478,0.0,0.0,0.05490458420812916,False
coinbase,BTC-USD,185822420,96916.25,2.118751,2026-05-08 22:15:00.961000+00:00,sell,2026-05-08T23:14:50.673388+00:00,match,205341.40160375,0.0,0.0,0.030327245409217718,False
coinbase,BTC-USD,185822474,96639.76,0.74184,2026-05-08 22:15:01.151000+00:00,buy,2026-05-08T23:14:50.673541+00:00,match,71691.2395584,0.0,0.0,0.07237345093455366,False
coinbase,BTC-USD,185822466,96576.4,1.156624,2026-05-08 22:15:01.689000+00:00,sell,2026-05-08T23:14:50.673514+00:00,match,111702.5820736,0.0,0.0,0.07591261097105584,False
coinbase,BTC-USD,185822426,97048.69,1.589248,2026-05-08 22:15:01.831000+00:00,buy,2026-05-08T23:14:50.673405+00:00,match,154234.43648512,0.0,0.0,0.06802901651138449,False
coinbase,BTC-USD,185822494,96995.21,2.073387,2026-05-08 22:15:02.153000+00:00,buy,2026-05-08T23:14:50.673596+00:00,match,201108.60747627,0.0,0.0,0.03248960679724311,False
coinbase,BTC-USD,185822422,97053.81,0.946398,2026-05-08 22:15:02.473000+00:00,sell,2026-05-08T23:14:50.673394+00:00,match,91851.53167638,0.0,0.0,0.08312109215351093,False
coinbase,BTC-USD,185822512,97437.58,2.458878,2026-05-08 22:15:03.473000+00:00,buy,2026-05-08T23:14:50.673646+00:00,match,239587.12183524,0.0,0.0,-0.03206857007179387,True
coinbase,BTC-USD,185822464,96668.19,1.820561,2026-05-08 22:15:04.869000+00:00,buy,2026-05-08T23:14:50.673509+00:00,match,175990.33665459,0.0,0.0,0.05100337556311707,False
coinbase,BTC-USD,185822580,97207.49,1.227104,2026-05-08 22:15:04.953000+00:00,buy,2026-05-08T23:14:50.673830+00:00,match,119283.69980896,0.0,0.0,0.07637422182372533,False
coinbase,BTC-USD,185822626,97885.31,0.776944,2026-05-08 22:15:07.365000+00:00,sell,2026-05-08T23:14:50.673955+00:00,match,76051.40429264,0.0,0.0,0.06532662060021921,False
coinbase,BTC-USD,185822484,96622.67,2.496136,2026-05-08 22:15:08.961000+00:00,buy,2026-05-08T23:14:50.673568+00:00,match,241183.32500312,0.0,0.0,-0.03985303674438223,True
coinbase,BTC-USD,185822566,97232.34,1.414875,2026-05-08 22:15:11.309000+00:00,sell,2026-05-08T23:14:50.673792+00:00,match,137571.60705750002,0.730492957895361,-0.0017834332955346133,0.08655148540047419,False
coinbase,BTC-USD,185822602,97457.42,1.174834,2026-05-08 22:15:12.713000+00:00,buy,2026-05-08T23:14:50.673889+00:00,match,114496.29056828,1.348141383057866,-0.29971410619241046,0.05158784593598276,False
coinbase,BTC-USD,185822490,96892.9,0.335814,2026-05-08 22:15:12.981000+00:00,buy,2026-05-08T23:14:50.673585+00:00,match,32537.9923206,-0.40365112255790087,-1.3188621926452477,0.05713778911698353,False
coinbase,BTC-USD,185822556,97002.6,1.872586,2026-05-08 22:15:13.137000+00:00,sell,2026-05-08T23:14:50.673765+00:00,match,181645.71072360003,-0.05298517100925023,0.6406716226559585,0.07004169487396017,False
coinbase,BTC-USD,185822528,97286.84,1.187893,2026-05-08 22:15:13.757000+00:00,sell,2026-05-08T23:14:50.673689+00:00,match,115566.35622812,0.8424254269336494,-0.24319308574538134,0.0663774140008071,False
coinbase,BTC-USD,185822438,96900.8,1.980219,2026-05-08 22:15:14.437000+00:00,buy,2026-05-08T23:14:50.673439+00:00,match,191884.8052752,-0.4140910145420587,0.7793847759544107,0.04793645506297961,False
coinbase,BTC-USD,185822432,97007.82,2.282849,2026-05-08 22:15:14.893000+00:00,sell,2026-05-08T23:14:50.673422+00:00,match,221454.20487918003,-0.05577359179020752,1.1350601931631321,0.04278396707195986,False
coinbase,BTC-USD,185822448,97000.31,2.079181,2026-05-08 22:15:15.117000+00:00,buy,2026-05-08T23:14:50.673466+00:00,match,201681.20154611,-0.07988689216963588,0.8357413647774339,0.0637176825246244,False
coinbase,BTC-USD,185822434,96903.88,0.349162,2026-05-08 22:15:17.051000+00:00,sell,2026-05-08T23:14:50.673428+00:00,match,33835.15254856,-0.40637889211887535,-1.4029942361748455,0.041645202623702304,False
coinbase,BTC-USD,185822592,97224.05,0.460991,2026-05-08 22:15:18.573000+00:00,sell,2026-05-08T23:14:50.673863+00:00,match,44819.41203355,0.7047367940525547,-1.1998796452063962,0.0640461450946036,False
coinbase,BTC-USD,185822696,99357.87,0.274905,2026-05-08 22:15:19.641000+00:00,buy,2026-05-08T23:14:50.674144+00:00,match,27313.97525235,4.442756941339061,-1.3639385573735985,-0.02728405793176769,True
coinbase,BTC-USD,185822442,96924.66,1.08697,2026-05-08 22:15:20.043000+00:00,buy,2026-05-08T23:14:50.673449+00:00,match,105354.1976802,-0.34688955199631305,-0.32797902147800084,0.0742860884793819,False
coinbase,BTC-USD,185822564,97146.01,1.787565,2026-05-08 22:15:21.833000+00:00,buy,2026-05-08T23:14:50.673787+00:00,match,173654.80736565,0.09445890386361645,0.5751355883190757,0.08244685535496388,False
coinbase,BTC-USD,185822458,96902.32,2.263559,2026-05-08 22:15:24.069000+00:00,buy,2026-05-08T23:14:50.673492+00:00,match,219344.11855688,-0.3941225279209888,1.1510300545708292,0.0330577521183244,False
coinbase,BTC-USD,185822502,97319.01,0.59192,2026-05-08 22:15:25.053000+00:00,buy,2026-05-08T23:14:50.673618+00:00,match,57605.0683992,0.4563814963292249,-0.9964528238554142,0.07255397521445373,False
coinbase,BTC-USD,185822724,99565.9,1.852449,2026-05-08 22:15:25.617000+00:00,buy,2026-05-08T23:14:50.674219+00:00,match,184440.7518891,3.8024808170670505,0.6958721886530871,-0.028501111263067203,True
coinbase,BTC-USD,185822478,96668.14,1.688064,2026-05-08 22:15:25.719000+00:00,sell,2026-05-08T23:14:50.673552+00:00,match,163182.00708096,-0.7798512333844559,0.40104228595585023,0.06329810635188138,False
coinbase,BTC-USD,185822452,96999.38,2.181095,2026-05-08 22:15:27.313000+00:00,buy,2026-05-08T23:14:50.673476+00:00,match,211564.8627211,-0.24757758116737985,1.0350002616645995,0.052241781445101276,False
coinbase,BTC-USD,185823096,99170.98,0.81829,2026-05-08 22:15:28.293000+00:00,buy,2026-05-08T23:14:50.675432+00:00,match,81150.62122419999,2.8394033340645293,-0.7375332616020678,-0.0087411292120394,True
coinbase,BTC-USD,185822606,97631.68,2.066595,2026-05-08 22:15:28.697000+00:00,buy,2026-05-08T23:14:50.673900+00:00,match,201765.14172959997,0.6048574639054767,0.9043035773003939,0.05464802776624733,False
coinbase,BTC-USD,185822472,96739.95,1.962845,2026-05-08 22:15:28.713000+00:00,sell,2026-05-08T23:14:50.673535+00:00,match,189885.52715775,-0.6815289786476116,0.7259409519606378,0.052845048853704,False
coinbase,BTC-USD,185822446,96890.23,0.403956,2026-05-08 22:15:29.297000+00:00,buy,2026-05-08T23:14:50.673460+00:00,match,39139.38974988,-0.45437196155589865,-1.3232426008215898,0.05469908047097927,False
coinbase,BTC-USD,185822462,96795.78,1.647491,2026-05-08 22:15:29.423000+00:00,sell,2026-05-08T23:14:50.673503+00:00,match,159470.17638798,-0.5848489656681749,0.32862444102342847,0.06471727249626202,False
coinbase,BTC-USD,185823224,97700.95,1.967571,2026-05-08 22:15:32.897000+00:00,buy,2026-05-08T23:14:50.675854+00:00,match,192233.55589245,0.7530617140518757,0.7699752293566119,0.06016029417324176,False
coinbase,BTC-USD,185822444,96926.89,0.266116,2026-05-08 22:15:33.233000+00:00,sell,2026-05-08T23:14:50.673455+00:00,match,25793.79625924,-0.4035938559679248,-1.4981891638055431,0.042651485381333676,False
coinbase,BTC-USD,185822450,97067.8,2.040077,2026-05-08 22:15:33.993000+00:00,buy,2026-05-08T23:14:50.673471+00:00,match,198025.7862206,-0.18782298708083767,0.85566447492591,0.05953524235841001,False
coinbase,BTC-USD,185822520,97479.21,0.947925,2026-05-08 22:15:34.521000+00:00,sell,2026-05-08T23:14:50.673668+00:00,match,92402.98013925,0.4371432871461723,-0.5936352939032066,0.08360937021898701,False
coinbase,BTC-USD,185822950,99195.88,1.04816,2026-05-08 22:15:34.789000+00:00,buy,2026-05-08T23:14:50.674889+00:00,match,103973.1535808,2.7843095821998527,-0.42735476632515557,-0.01107198783018104,True
coinbase,BTC-USD,185822524,97480.28,2.399584,2026-05-08 22:15:35.137000+00:00,buy,2026-05-08T23:14:50.673679+00:00,match,233912.12020352,0.3391780344292325,1.3536269523350912,0.009216469969098195,False
coinbase,BTC-USD,185823110,98969.44,1.112723,2026-05-08 22:15:36.741000+00:00,sell,2026-05-08T23:14:50.675477+00:00,match,110125.57218512,2.310081977250367,-0.36240230266497925,-0.0012513531615324647,True
