source,product_id,trade_id,price,quantity,trade_time,side,collected_at,raw_type,trade_value,price_zscore,trade_value_zscore,is_anomaly
coinbase,BTC-USD,185822414,96913.2,0.079554,2026-05-08 22:14:51.155000+00:00,buy,2026-05-08T23:14:50.673369+00:00,match,7709.8327128,0.0,0.0,False
coinbase,BTC-USD,185822440,97037.74,2.151963,2026-05-08 22:14:52.717000+00:00,buy,2026-05-08T23:14:50.673444+00:00,match,208821.62608362,0.0,0.0,False
coinbase,BTC-USD,185822418,97033.65,0.850692,2026-05-08 22:14:52.881000+00:00,buy,2026-05-08T23:14:50.673382+00:00,match,82545.7497858,0.0,0.0,False
coinbase,BTC-USD,185822430,97134.23,2.107146,2026-05-08 22:14:53.625000+00:00,buy,2026-05-08T23:14:50.673417+00:00,match,204676.00420758,0.0,0.0,False
coinbase,BTC-USD,185822468,96620.48,1.351516,2026-05-08 22:14:55.153000+00:00,buy,2026-05-08T23:14:50.673523+00:00,match,130584.12464768,0.0,0.0,False
coinbase,BTC-USD,185822424,97113.37,0.114656,2026-05-08 22:14:56.865000+00:00,sell,2026-05-08T23:14:50.673399+00:00,match,11134.63055072,0.0,0.0,False
coinbase,BTC-USD,185822436,96863.76,2.493315,2026-05-08 22:14:58.665000+00:00,sell,2026-05-08T23:14:50.673433+00:00,match,241511.8657644,0.0,0.0,False
coinbase,BTC-USD,185822428,97080.46,0.42793,2026-05-08 22:14:59.489000+00:00,buy,2026-05-08T23:14:50.673411+00:00,match,41543.6412478,0.0,0.0,False
coinbase,BTC-USD,185822420,96916.25,2.118751,2026-05-08 22:15:00.961000+00:00,sell,2026-05-08T23:14:50.673388+00:00,match,205341.40160375,0.0,0.0,False
coinbase,BTC-USD,185822474,96639.76,0.74184,2026-05-08 22:15:01.151000+00:00,buy,2026-05-08T23:14:50.673541+00:00,match,71691.2395584,0.0,0.0,False
coinbase,BTC-USD,185822466,96576.4,1.156624,2026-05-08 22:15:01.689000+00:00,sell,2026-05-08T23:14:50.673514+00:00,match,111702.5820736,0.0,0.0,False
coinbase,BTC-USD,185822426,97048.69,1.589248,2026-05-08 22:15:01.831000+00:00,buy,2026-05-08T23:14:50.673405+00:00,match,154234.43648512,0.0,0.0,False
coinbase,BTC-USD,185822494,96995.21,2.073387,2026-05-08 22:15:02.153000+00:00,buy,2026-05-08T23:14:50.673596+00:00,match,201108.60747627,0.0,0.0,False
coinbase,BTC-USD,185822422,97053.81,0.946398,2026-05-08 22:15:02.473000+00:00,sell,2026-05-08T23:14:50.673394+00:00,match,91851.53167638,0.0,0.0,False
coinbase,BTC-USD,185822512,97437.58,2.458878,2026-05-08 22:15:03.473000+00:00,buy,2026-05-08T23:14:50.673646+00:00,match,239587.12183524,0.0,0.0,False
coinbase,BTC-USD,185822464,96668.19,1.820561,2026-05-08 22:15:04.869000+00:00,buy,2026-05-08T23:14:50.673509+00:00,match,175990.33665459,0.0,0.0,False
coinbase,BTC-USD,185822580,97207.49,1.227104,2026-05-08 22:15:04.953000+00:00,buy,2026-05-08T23:14:50.673830+00:00,match,119283.69980896,0.0,0.0,False
coinbase,BTC-USD,185822626,97885.31,0.776944,2026-05-08 22:15:07.365000+00:00,sell,2026-05-08T23:14:50.673955+00:00,match,76051.40429264,0.0,0.0,False
coinbase,BTC-USD,185822484,96622.67,2.496136,2026-05-08 22:15:08.961000+00:00,buy,2026-05-08T23:14:50.673568+00:00,match,241183.32500312,0.0,0.0,False
coinbase,BTC-USD,185822566,97232.34,1.414875,2026-05-08 22:15:11.309000+00:00,sell,2026-05-08T23:14:50.673792+00:00,match,137571.60705750002,0.730492957895361,-0.0017834332955346133,False
coinbase,BTC-USD,185822602,97457.42,1.174834,2026-05-08 22:15:12.713000+00:00,buy,2026-05-08T23:14:50.673889+00:00,match,114496.29056828,1.348141383057866,-0.29971410619241046,False
coinbase,BTC-USD,185822490,96892.9,0.335814,2026-05-08 22:15:12.981000+00:00,buy,2026-05-08T23:14:50.673585+00:00,match,32537.9923206,-0.40365112255790087,-1.3188621926452477,False
coinbase,BTC-USD,185822556,97002.6,1.872586,2026-05-08 22:15:13.137000+00:00,sell,2026-05-08T23:14:50.673765+00:00,match,181645.71072360003,-0.05298517100925023,0.6406716226559585,False
coinbase,BTC-USD,185822528,97286.84,1.187893,2026-05-08 22:15:13.757000+00:00,sell,2026-05-08T23:14:50.673689+00:00,match,115566.35622812,0.8424254269336494,-0.24319308574538134,False
coinbase,BTC-USD,185822438,96900.8,1.980219,2026-05-08 22:15:14.437000+00:00,buy,2026-05-08T23:14:50.673439+00:00,match,191884.8052752,-0.4140910145420587,0.7793847759544107,False
