e,symbol,trade_id,price,quantity,trade_time,m,trade_value
trade,ETHUSDT,159279083,3511.8,0.651393,2026-03-20 04:32:24.014,False,2287.5619374000003
trade,BTCUSDT,140548816,97380.91,1.287326,2026-03-20 04:32:25.861,True,125360.97734666
trade,ETHUSDT,159279084,3513.44,0.028013,2026-03-20 04:32:27.063,False,98.42199472
trade,BTCUSDT,140548817,97363.73,0.894413,2026-03-20 04:32:27.533,False,87083.38584049
trade,BTCUSDT,140548818,96560.85,1.581569,2026-03-20 04:32:28.599,False,152717.64697365
trade,BTCUSDT,140548819,97057.39,1.189353,2026-03-20 04:32:30.026,False,115435.49796867001
trade,ETHUSDT,159279085,3501.25,1.725418,2026-03-20 04:32:30.357,False,6041.119772499999
trade,BTCUSDT,140548820,97060.37,1.576933,2026-03-20 04:32:32.175,False,153057.70044520998
trade,ETHUSDT,159279086,3509.18,0.066983,2026-03-20 04:32:34.182,False,235.05540394
trade,ETHUSDT,159279087,3495.43,1.966087,2026-03-20 04:32:36.452,True,6872.319482409999
trade,BTCUSDT,140548821,96737.72,1.595213,2026-03-20 04:32:36.453,True,154317.26853436
trade,ETHUSDT,159279088,3504.6,0.949806,2026-03-20 04:32:38.510,True,3328.6901076
trade,BTCUSDT,140548822,97396.95,1.519904,2026-03-20 04:32:39.165,False,148034.0138928
trade,BTCUSDT,140548823,97036.17,0.945743,2026-03-20 04:32:42.061,False,91771.27852431
trade,ETHUSDT,159279089,3508.54,1.444658,2026-03-20 04:32:42.860,True,5068.64037932
trade,ETHUSDT,159279090,3491.68,0.404165,2026-03-20 04:32:43.944,False,1411.2148472
trade,BTCUSDT,140548824,97185.08,0.411755,2026-03-20 04:32:45.531,True,40016.442615399996
trade,ETHUSDT,159279091,3490.77,1.765994,2026-03-20 04:32:45.561,False,6164.67887538
trade,ETHUSDT,159279092,3498.13,1.546956,2026-03-20 04:32:49.352,False,5411.45319228
trade,BTCUSDT,140548825,97002.43,0.593979,2026-03-20 04:32:49.569,False,57617.40636897
trade,BTCUSDT,140548826,96598.38,0.61297,2026-03-20 04:32:50.525,False,59211.90898860001
trade,ETHUSDT,159279093,3498.82,0.600656,2026-03-20 04:32:51.740,True,2101.58722592
trade,ETHUSDT,159279094,3483.04,0.321232,2026-03-20 04:32:52.109,True,1118.8639052800002
trade,BTCUSDT,140548827,97185.77,1.195255,2026-03-20 04:32:55.315,False,116161.77752135
trade,ETHUSDT,159279095,3507.43,0.953311,2026-03-20 04:32:56.452,False,3343.67160073
trade,BTCUSDT,140548828,96864.35,1.428733,2026-03-20 04:32:58.518,False,138393.29336855002
trade,BTCUSDT,140548829,96984.9,0.680008,2026-03-20 04:33:00.474,True,65950.50787919998
trade,ETHUSDT,159279096,3493.95,0.3859,2026-03-20 04:33:01.074,False,1348.315305
trade,ETHUSDT,159279097,3516.64,1.64037,2026-03-20 04:33:01.379,True,5768.5907568
trade,BTCUSDT,140548830,97321.03,1.565489,2026-03-20 04:33:03.604,True,152355.00193367
trade,ETHUSDT,159279098,3511.44,0.460494,2026-03-20 04:33:05.893,True,1616.9970513600001
trade,BTCUSDT,140548831,96543.73,1.959502,2026-03-20 04:33:06.816,False,189177.63202246
trade,ETHUSDT,159279099,3503.08,1.017523,2026-03-20 04:33:10.121,True,3564.4644708399996
trade,ETHUSDT,159279100,3500.2,1.293727,2026-03-20 04:33:10.426,False,4528.3032454
trade,ETHUSDT,159279101,3496.23,0.457775,2026-03-20 04:33:10.971,True,1600.48668825
trade,BTCUSDT,140548832,97146.62,1.278035,2026-03-20 04:33:11.509,False,124156.7804917
trade,BTCUSDT,140548833,96555.2,1.304239,2026-03-20 04:33:11.716,True,125931.05749279998
trade,BTCUSDT,140548834,97212.35,0.52861,2026-03-20 04:33:13.234,False,51387.420333500006
trade,ETHUSDT,159279102,3495.38,0.444723,2026-03-20 04:33:14.666,False,1554.47587974
trade,BTCUSDT,140548835,97434.49,1.869262,2026-03-20 04:33:15.411,True,182130.58964638002
trade,BTCUSDT,140548836,97333.27,1.445773,2026-03-20 04:33:16.263,True,140721.81376771
trade,ETHUSDT,159279103,3484.06,1.068946,2026-03-20 04:33:18.148,False,3724.2720007599996
trade,BTCUSDT,140548837,97108.25,1.487914,2026-03-20 04:33:18.423,True,144488.7246905
trade,BTCUSDT,140548838,96952.51,0.843436,2026-03-20 04:33:18.987,False,81773.23722436
trade,ETHUSDT,159279104,3507.16,0.518697,2026-03-20 04:33:19.707,False,1819.1533705199997
trade,BTCUSDT,140548839,97091.17,0.911083,2026-03-20 04:33:20.418,True,88458.11443711
trade,ETHUSDT,159279105,3503.37,0.518741,2026-03-20 04:33:23.208,True,1817.34165717
trade,BTCUSDT,140548840,97354.94,1.370769,2026-03-20 04:33:23.288,False,133451.13374885998
trade,BTCUSDT,140548841,97144.19,1.105155,2026-03-20 04:33:24.538,False,107359.38729945001
trade,ETHUSDT,159279106,3485.23,1.14282,2026-03-20 04:33:27.022,True,3982.9905486
trade,BTCUSDT,140548842,96995.77,0.232252,2026-03-20 04:33:27.740,False,22527.46157404
trade,ETHUSDT,159279107,3496.0,0.209074,2026-03-20 04:33:28.508,False,730.9227040000001
trade,BTCUSDT,140548843,97185.65,0.943891,2026-03-20 04:33:30.586,False,91732.66036415
trade,ETHUSDT,159279108,3502.41,1.037604,2026-03-20 04:33:31.884,False,3634.1146256399998
