e,symbol,trade_id,price,quantity,m,trade_value
trade,ETHUSDT,143951519,3499.0,1.611347,True,5638.103153
trade,BTCUSDT,111961325,97021.44,1.270186,False,123235.27478784001
trade,BTCUSDT,111960263,96605.84,0.933263,True,90158.65605591999
trade,BTCUSDT,111960478,97255.89,1.878487,True,182693.92503843
trade,BTCUSDT,111960384,96981.16,0.504888,False,48964.62391008
trade,ETHUSDT,143951608,3507.52,0.056362,True,197.69084224
trade,ETHUSDT,143950344,3515.43,1.623342,True,5706.74516706
trade,ETHUSDT,143951617,3501.14,0.858721,False,3006.5024419399997
trade,ETHUSDT,143951404,3507.48,0.843521,False,2958.6330370799997
trade,ETHUSDT,143951293,3505.89,1.506624,False,5282.058015359999
trade,BTCUSDT,111961474,96893.43,0.409173,True,39646.175433389995
trade,BTCUSDT,111961981,97458.7,1.440544,False,140393.5455328
trade,BTCUSDT,111961215,96643.88,0.036356,True,3513.58490128
trade,ETHUSDT,143951950,3483.59,1.809341,False,6303.002214190001
trade,ETHUSDT,143951545,3485.23,0.410121,True,1429.36601283
trade,ETHUSDT,143951644,3504.46,1.219872,True,4274.99262912
trade,ETHUSDT,143951216,3493.68,0.830378,True,2901.0750110399995
trade,ETHUSDT,143951394,3488.18,1.304439,True,4550.11803102
trade,BTCUSDT,111960323,97164.03,0.104263,False,10130.613259889999
trade,ETHUSDT,143950859,3486.32,0.447051,True,1558.56284232
trade,ETHUSDT,143951854,3506.98,0.872329,False,3059.24035642
trade,BTCUSDT,111961968,97053.18,0.319825,True,31040.0332935
trade,ETHUSDT,143950448,3496.12,0.496326,False,1735.21525512
trade,BTCUSDT,111961168,96623.64,1.96151,False,189528.2360964
trade,ETHUSDT,143951410,3511.34,0.248096,False,871.14940864
trade,BTCUSDT,111962018,96892.33,1.711077,False,165790.23733941
trade,ETHUSDT,143951176,3510.02,1.025736,False,3600.35387472
trade,BTCUSDT,111960084,96928.74,0.598424,True,58004.48430576
trade,ETHUSDT,143950225,3499.0,1.016263,True,3555.9042369999997
trade,ETHUSDT,143951120,3488.08,1.891256,False,6596.85222848
trade,BTCUSDT,111961463,96682.08,1.215584,False,117525.18953472
trade,BTCUSDT,111960757,96951.99,0.986536,True,95646.62840664
trade,BTCUSDT,111960261,96797.91,1.084923,False,105018.27891093
trade,ETHUSDT,143950519,3483.39,1.588118,False,5532.034360019999
trade,ETHUSDT,143950846,3496.3,1.65728,True,5794.348064000001
trade,BTCUSDT,111961349,96873.56,0.15028,True,14558.1585968
trade,BTCUSDT,111960520,96608.31,1.183846,True,114369.36136026
trade,BTCUSDT,111960901,96556.86,1.983833,False,191552.68524438
trade,BTCUSDT,111960651,97193.8,1.348113,False,131028.2252994
trade,ETHUSDT,143950613,3513.61,1.019238,True,3581.2048291800006
trade,BTCUSDT,111961351,97383.17,0.543782,True,52955.214948939996
trade,BTCUSDT,111960591,97439.52,0.683483,True,66598.25544816
trade,BTCUSDT,111961469,96673.64,0.285749,True,27624.395956359996
trade,BTCUSDT,111961702,97069.27,0.613454,True,59547.53195858001
trade,BTCUSDT,111960844,97433.23,1.273874,True,124117.65843301998
trade,ETHUSDT,143951053,3507.59,0.350146,True,1228.16860814
trade,ETHUSDT,143950967,3505.89,1.670615,False,5856.992422349999
trade,BTCUSDT,111961404,96778.19,1.066939,True,103256.42526041
trade,ETHUSDT,143951275,3482.61,1.958328,False,6820.09267608
trade,BTCUSDT,111960096,97202.78,1.194265,False,116085.87805669999
trade,ETHUSDT,143950656,3501.04,1.740916,True,6095.01655264
trade,ETHUSDT,143950722,3505.5,1.138583,False,3991.3027064999997
trade,BTCUSDT,111961675,97377.24,0.819668,False,79817.00755632
trade,BTCUSDT,111961524,96531.15,1.986364,False,191746.0012386
trade,ETHUSDT,143951371,3517.36,1.601133,True,5631.76116888
trade,ETHUSDT,143950207,3511.64,0.483641,True,1698.37308124
trade,BTCUSDT,111960366,96816.2,0.303471,False,29380.909030199997
trade,BTCUSDT,111960311,96879.63,1.653533,True,160193.66523279
trade,ETHUSDT,143950291,3503.21,1.811844,True,6347.27001924
trade,BTCUSDT,111960813,97338.76,0.890074,True,86638.69946824
trade,BTCUSDT,111961216,96539.22,1.907967,True,184193.64596574
trade,ETHUSDT,143950552,3488.05,1.16465,True,4062.3574325
trade,BTCUSDT,111961580,97144.05,1.663243,False,161574.16115415
trade,ETHUSDT,143951185,3498.68,1.406641,False,4921.38673388
trade,ETHUSDT,143952015,3503.94,1.455343,True,5099.43455142
trade,ETHUSDT,143951079,3491.55,0.275947,True,963.48274785
trade,ETHUSDT,143951288,3487.89,0.686021,True,2392.76578569
trade,ETHUSDT,143950055,3513.01,0.404966,True,1422.6496076600001
trade,ETHUSDT,143950669,3516.3,1.991891,True,7004.086323300001
trade,BTCUSDT,111960566,97465.5,0.879511,False,85721.9793705
trade,BTCUSDT,111960895,97458.29,0.894556,False,87181.89806924
trade,ETHUSDT,143950311,3489.33,1.26828,True,4425.4474524
trade,BTCUSDT,111961636,97248.87,0.577426,False,56154.02600862
trade,ETHUSDT,143950361,3495.43,1.372676,True,4798.09287068
trade,BTCUSDT,111960707,97056.5,0.092377,False,8965.7883005
trade,BTCUSDT,111961312,96657.49,1.662306,True,160674.32557194002
trade,ETHUSDT,143950435,3492.67,0.058684,False,204.96384628
trade,ETHUSDT,143951203,3500.06,1.484974,True,5197.49809844
trade,BTCUSDT,111960123,96727.36,1.69428,True,163883.2315008
trade,ETHUSDT,143950773,3510.73,1.99503,True,7004.011671900001
trade,ETHUSDT,143951903,3505.24,0.591995,True,2075.0845538
trade,ETHUSDT,143951199,3511.59,1.086588,False,3815.6515549200008
trade,BTCUSDT,111961987,97213.69,0.792969,True,77087.44254561
trade,BTCUSDT,111960402,97451.72,1.470082,True,143262.01944104
trade,ETHUSDT,143950620,3512.78,0.009711,False,34.11260658
trade,BTCUSDT,111960127,96697.53,1.541832,False,149091.34607496002
trade,ETHUSDT,143950803,3504.39,0.056362,True,197.51442918
trade,ETHUSDT,143950517,3505.38,0.562128,False,1970.4722486399999
trade,ETHUSDT,143951055,3515.41,0.804732,True,2828.96292012
trade,BTCUSDT,111960555,97089.68,1.716265,True,166631.61964519997
trade,ETHUSDT,143951074,3514.53,0.026127,False,91.82412531000001
trade,BTCUSDT,111960926,96976.66,1.647113,False,159731.51738258
