e,symbol,trade_id,price,quantity,trade_time,m,trade_value
trade,BTCUSDT,119557800,97423.81,0.245805,2026-03-20 04:31:24.634,True,23947.25961705
trade,ETHUSDT,111431385,3497.93,1.490467,2026-03-20 04:31:26.901,False,5213.54923331
trade,BTCUSDT,119557801,97106.37,1.988973,2026-03-20 04:31:27.637,True,193141.94805801
trade,BTCUSDT,119557802,96981.09,1.298284,2026-03-20 04:31:28.218,False,125908.99744955999
trade,ETHUSDT,111431386,3502.04,1.412044,2026-03-20 04:31:29.846,False,4945.0345697600005
trade,BTCUSDT,119557803,97405.17,1.559995,2026-03-20 04:31:32.703,True,151951.57817415
trade,ETHUSDT,111431387,3504.55,0.168716,2026-03-20 04:31:33.962,False,591.2736578
trade,BTCUSDT,119557804,97137.01,0.052342,2026-03-20 04:31:34.302,True,5084.34537742
trade,ETHUSDT,111431388,3486.83,1.264427,2026-03-20 04:31:34.433,False,4408.841996409999
trade,ETHUSDT,111431389,3495.19,0.925262,2026-03-20 04:31:34.815,True,3233.9664897800003
trade,BTCUSDT,119557805,97213.32,0.259316,2026-03-20 04:31:37.557,False,25208.96928912
trade,ETHUSDT,111431390,3503.71,1.676773,2026-03-20 04:31:38.234,True,5874.92632783
trade,BTCUSDT,119557806,97180.75,0.516064,2026-03-20 04:31:41.083,False,50151.486568
trade,ETHUSDT,111431391,3488.52,0.645836,2026-03-20 04:31:42.644,False,2253.0118027199997
trade,BTCUSDT,119557807,96564.69,0.147216,2026-03-20 04:31:45.277,True,14215.867403040002
trade,BTCUSDT,119557808,96725.3,0.380054,2026-03-20 04:31:46.425,False,36760.8371662
trade,ETHUSDT,111431392,3495.98,0.741255,2026-03-20 04:31:47.402,True,2591.4126549
trade,BTCUSDT,119557809,97096.94,1.445805,2026-03-20 04:31:48.065,False,140383.2413367
trade,BTCUSDT,119557810,97043.94,0.50395,2026-03-20 04:31:50.464,False,48905.293563
trade,ETHUSDT,111431393,3488.72,1.551858,2026-03-20 04:31:51.210,True,5413.99804176
trade,BTCUSDT,119557811,97409.95,1.271703,2026-03-20 04:31:51.452,True,123876.52564485
trade,ETHUSDT,111431394,3496.71,0.470355,2026-03-20 04:31:55.332,True,1644.69503205
trade,BTCUSDT,119557812,96733.83,1.686871,2026-03-20 04:31:56.316,True,163177.49254593
trade,ETHUSDT,111431395,3483.37,0.21203,2026-03-20 04:31:59.818,False,738.5789411
trade,ETHUSDT,111431396,3494.26,1.066038,2026-03-20 04:32:00.469,False,3725.0139418800004
trade,BTCUSDT,119557813,96577.21,1.90641,2026-03-20 04:32:01.007,True,184115.7589161
trade,BTCUSDT,119557814,97137.4,1.566825,2026-03-20 04:32:03.814,False,152197.30675499997
trade,BTCUSDT,119557815,96530.64,1.053257,2026-03-20 04:32:03.998,False,101671.57229448
trade,ETHUSDT,111431397,3482.5,0.844411,2026-03-20 04:32:05.211,False,2940.6613075
trade,BTCUSDT,119557816,96879.75,0.724193,2026-03-20 04:32:07.225,True,70159.63679175
trade,ETHUSDT,111431398,3502.58,1.257056,2026-03-20 04:32:08.208,True,4402.93920448
trade,BTCUSDT,119557817,97110.56,1.111476,2026-03-20 04:32:09.082,True,107936.05678655999
trade,ETHUSDT,111431399,3506.86,1.38795,2026-03-20 04:32:11.014,False,4867.346337
trade,BTCUSDT,119557818,97337.72,1.772324,2026-03-20 04:32:11.363,False,172513.97726128
trade,BTCUSDT,119557819,96987.57,0.066858,2026-03-20 04:32:14.520,False,6484.394955060001
trade,ETHUSDT,111431400,3506.52,0.266424,2026-03-20 04:32:15.238,False,934.22108448
trade,ETHUSDT,111431401,3497.19,0.303701,2026-03-20 04:32:16.437,True,1062.10010019
trade,BTCUSDT,119557820,97389.75,1.265561,2026-03-20 04:32:18.803,True,123252.66939975
trade,ETHUSDT,111431402,3504.41,1.929482,2026-03-20 04:32:20.847,True,6761.696015619999
trade,ETHUSDT,111431403,3503.31,0.7374,2026-03-20 04:32:21.085,False,2583.340794
trade,BTCUSDT,119557821,96534.5,1.648978,2026-03-20 04:32:22.368,True,159183.266741
trade,BTCUSDT,119557822,97421.44,0.563306,2026-03-20 04:32:24.379,False,54878.081680639996
